,type,price,square_meter,location,rooms,link,created,fetched
0,Lejlighed,11995,73,"København, Løgæblevej",2,www.boligportal.dk/lejligheder/k%C3%B8benhavn/73m2-2-vaer-id-5268723,1 min. siden,2022-03-31
1,Lejlighed,16650,91,"København, Etta Camerons Vej",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/91m2-3-vaer-id-5268719,17 min. siden,2022-03-31
2,Lejlighed,20800,110,"København, Dampfærgevej",4,www.boligportal.dk/lejligheder/k%C3%B8benhavn/110m2-4-vaer-id-3420395,46 min. siden,2022-03-31
3,Lejlighed,12695,80,"København, Cylindervej",2,www.boligportal.dk/lejligheder/k%C3%B8benhavn/80m2-2-vaer-id-5212229,57 min. siden,2022-03-31
4,Lejlighed,23075,142,"København, Linnésgade",4,www.boligportal.dk/lejligheder/k%C3%B8benhavn/142m2-4-vaer-id-4979723,1 time siden,2022-03-31
5,Lejlighed,13157,93,"København, Paradisæblevej",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/93m2-3-vaer-id-5244203,1 time siden,2022-03-31
6,Lejlighed,13260,96,"København, Paradisæblevej",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/96m2-3-vaer-id-5152144,1 time siden,2022-03-31
7,Lejlighed,10157,60,"København, Ingrid Marievej",2,www.boligportal.dk/lejligheder/k%C3%B8benhavn/60m2-2-vaer-id-5152141,1 time siden,2022-03-31
8,Lejlighed,10362,64,"København, Ingrid Marievej",2,www.boligportal.dk/lejligheder/k%C3%B8benhavn/64m2-2-vaer-id-5224431,1 time siden,2022-03-31
9,Lejlighed,13250,79,"København, Alliancevej",2,www.boligportal.dk/lejligheder/k%C3%B8benhavn/79m2-2-vaer-id-4390448,1 time siden,2022-03-31
10,Lejlighed,20500,96,"København, Havnegade",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/96m2-3-vaer-id-5200703,1 time siden,2022-03-31
11,Værelse,4752,9,"København, Prinsessegade",1,www.boligportal.dk/v%C3%A6relser/k%C3%B8benhavn/9m2-1-vaer-id-5268586,1 time siden,2022-03-31
12,Lejlighed,14500,88,"København, Borups Allé",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/88m2-3-vaer-id-3637776,1 time siden,2022-03-31
